DATE,PROVINCE,ESTABLISH_NAME,ADDRESS,CITY,VENDOR_NUMBER_PO,VENDOR_NAME,PRODUCT_SKU_NO,PRODUCT_NAME,WEEK_ENDING_DATE,CASE_SALES
10/14/2024,BC,KALAMALKA CANNABIS,2-1220 Kalamalka Lake Road,Vernon,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
10/14/2024,BC,KELO CANNABIS,305-890 Clement Ave,Kelowna,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,3
10/14/2024,BC,KELO CANNABIS,112-19150 Lougheed Hwy,Pitt Meadows,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,KELO CANNABIS,112-19150 Lougheed Hwy,Pitt Meadows,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-28 0:00,1
10/14/2024,BC,KELO CANNABIS,305-890 Clement Ave,Kelowna,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,2
10/14/2024,BC,KELO CANNABIS,112-19150 Lougheed Hwy,Pitt Meadows,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,KELO CANNABIS,112-19150 Lougheed Hwy,Pitt Meadows,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-05 0:00,1
10/14/2024,BC,KELO CANNABIS,112-19150 Lougheed Hwy,Pitt Meadows,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
10/14/2024,BC,KELO CANNABIS,305-890 Clement Ave,Kelowna,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
10/14/2024,BC,KELO CANNABIS,112-19150 Lougheed Hwy,Pitt Meadows,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,1
3/25/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-03-02 0:00,4
3/25/2024,BC,MUSE CANNABIS STORE,3039 Granville Street,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-03-23 0:00,4
4/8/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-04-06 0:00,4
4/8/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-04-06 0:00,4
10/14/2024,BC,KIARO,475 Gorge Road East,Victoria,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,1
10/14/2024,BC,KIARO CANNABIS,2816 St Johns Street,Port Moody,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,2
4/8/2024,BC,MUSE CANNABIS STORE,3039 Granville Street,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-03-23 0:00,4
4/15/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-04-06 0:00,4
4/15/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-04-06 0:00,4
10/14/2024,BC,KIARO CANNABIS,2816 St Johns Street,Port Moody,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
4/15/2024,BC,MUSE CANNABIS STORE,3039 Granville Street,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-03-23 0:00,4
4/22/2024,BC,CHEEKY'S CANNABIS MERCHANTS,3695 4th Avenue West,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-04-20 0:00,4
4/22/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-04-06 0:00,4
4/22/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-04-06 0:00,4
10/14/2024,BC,KOOTENAY CANNABIS,1306 Columbia Ave,Castlegar,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,1
4/29/2024,BC,CHEEKY'S CANNABIS MERCHANTS,3695 4th Avenue West,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-04-20 0:00,4
4/29/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-04-06 0:00,4
4/29/2024,BC,LOCAL CANNABIS CO.,726 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-04-06 0:00,4
5/6/2024,BC,CHEEKY'S CANNABIS MERCHANTS,3695 4th Avenue West,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-04-20 0:00,4
10/14/2024,BC,KOOTENAY CANNABIS,1306 Columbia Ave,Castlegar,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,1
6/3/2024,BC,CHEEKY'S CANNABIS MERCHANTS,3695 4th Avenue West,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-05-25 0:00,4
6/3/2024,BC,CHEEKY'S CANNABIS MERCHANTS,3695 4th Avenue West,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-05-25 0:00,4
8/12/2024,BC,IMAGINE CANNABIS CO,1766 Davie Street,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-08-10 0:00,4
8/19/2024,BC,IMAGINE CANNABIS CO,1766 Davie Street,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-08-10 0:00,4
8/26/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-08-24 0:00,4
8/26/2024,BC,IMAGINE CANNABIS CO,1766 Davie Street,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-08-10 0:00,4
